,[job_title],[location],[company],[entry_level]
1,2020 Artificial Intelligence / Machine Learning Intern,MIDCONTINENT INDEPENDENT SYSTEM OPERATOR INC,"Carmel, IN 46032",yes
2,Data Scientist,"Flexera Software, Inc.","Itasca, IL",yes
3,Data Science Intern,LexisNexis SA,"Raleigh, NC",yes
4,Summer Research Trainee in Biomedical Big Data Science,"Ma'ayan Laboratory, Icahn School of Medicine at Mo...","New York, NY 10029 (Yorkville area)",yes
5,Data Scientist,Techouts Inc,"Detroit, MI",yes
6,Data Science Internship,DriveTime,"Tempe, AZ 85281",yes
7,2020 Summer College Intern - Data Science Intern,Gulfstream Aerospace,"Savannah, GA",yes
8,Data Scientist,Ars Quanta,"Seattle, WA",yes
9,Data Science and Analytics Research Fellowship - NIH,ORISE,"Bethesda, MD 20852",yes
10,Intern - Data Science and Visualization,Fulton Financial Corporation,"Lancaster, PA",yes
